   ascii count char hex
1     32   166       20
2    101    80    e  65
3    116    60    t  74
4    104    57    h  68
5     97    52    a  61
6    111    50    o  6f
7    105    37    i  69
8    115    37    s  73
9    110    36    n  6e
10   114    33    r  72
11   100    31    d  64
12   108    29    l  6c
13    98    28    b  62
14   109    26    m  6d
15   119    23    w  77
16   103    21    g  67
17   117    21    u  75
18    44    16    ,  2c
19   121    16    y  79
20    99    12    c  63
21    33    11    !  21
22   102    10    f  66
23    65     9    A  41
24    84     7    T  54
25   107     7    k  6b
26   128     7 \x80  80
27   226     7 \xe2  e2
28   118     6    v  76
29    46     5    .  2e
30    67     4    C  43
31    72     4    H  48
32    74     4    J  4a
33   106     4    j  6a
34    66     3    B  42
35    79     3    O  4f
36   112     3    p  70
37    58     2    :  3a
38    68     2    D  44
39   153     2 \x99  99
40   156     2 \x9c  9c
41   157     2 \x9d  9d
42    45     1    -  2d
43    59     1    ;  3b
44    63     1    ?  3f
45    76     1    L  4c
46    83     1    S  53
47   120     1    x  78
48   148     1 \x94  94
